fixture	lane	repetition	duration_seconds	outcome
resize	docker	1	0.000871250	success
resize	container-engine	1	0.000440666	success
websocket-roundtrip-32b	docker	1	0.000753541	success
websocket-roundtrip-32b	container-engine	1	0.000600917	success
websocket-roundtrip-1mib	docker	1	0.017018500	success
websocket-roundtrip-1mib	container-engine	1	0.011258042	success
resize	container-engine	2	0.000564917	success
resize	docker	2	0.001505834	success
websocket-roundtrip-32b	container-engine	2	0.000679000	success
websocket-roundtrip-32b	docker	2	0.000797250	success
websocket-roundtrip-1mib	container-engine	2	0.012757833	success
websocket-roundtrip-1mib	docker	2	0.011565500	success
resize	docker	3	0.000953500	success
resize	container-engine	3	0.000705250	success
websocket-roundtrip-32b	docker	3	0.000757917	success
websocket-roundtrip-32b	container-engine	3	0.000735500	success
websocket-roundtrip-1mib	docker	3	0.012815167	success
websocket-roundtrip-1mib	container-engine	3	0.011986875	success
resize	container-engine	4	0.000580125	success
resize	docker	4	0.001408541	success
websocket-roundtrip-32b	container-engine	4	0.000642917	success
websocket-roundtrip-32b	docker	4	0.000791250	success
websocket-roundtrip-1mib	container-engine	4	0.011855084	success
websocket-roundtrip-1mib	docker	4	0.029392708	success
resize	docker	5	0.001131584	success
resize	container-engine	5	0.000642458	success
websocket-roundtrip-32b	docker	5	0.000765792	success
websocket-roundtrip-32b	container-engine	5	0.000584583	success
websocket-roundtrip-1mib	docker	5	0.027523292	success
websocket-roundtrip-1mib	container-engine	5	0.012365792	success
resize	container-engine	6	0.000506333	success
resize	docker	6	0.003547708	success
websocket-roundtrip-32b	container-engine	6	0.000691792	success
websocket-roundtrip-32b	docker	6	0.002624250	success
websocket-roundtrip-1mib	container-engine	6	0.011683167	success
websocket-roundtrip-1mib	docker	6	0.030304583	success
resize	docker	7	0.001195333	success
resize	container-engine	7	0.000607125	success
websocket-roundtrip-32b	docker	7	0.000689875	success
websocket-roundtrip-32b	container-engine	7	0.000567000	success
websocket-roundtrip-1mib	docker	7	0.029499125	success
websocket-roundtrip-1mib	container-engine	7	0.012173625	success
resize	container-engine	8	0.000658917	success
resize	docker	8	0.003419916	success
websocket-roundtrip-32b	container-engine	8	0.000621584	success
websocket-roundtrip-32b	docker	8	0.002316959	success
websocket-roundtrip-1mib	container-engine	8	0.012419125	success
websocket-roundtrip-1mib	docker	8	0.019842667	success
resize	docker	9	0.001378458	success
resize	container-engine	9	0.000679667	success
websocket-roundtrip-32b	docker	9	0.000713125	success
websocket-roundtrip-32b	container-engine	9	0.000808458	success
websocket-roundtrip-1mib	docker	9	0.014724875	success
websocket-roundtrip-1mib	container-engine	9	0.012012666	success
resize	container-engine	10	0.000528375	success
resize	docker	10	0.004086417	success
websocket-roundtrip-32b	container-engine	10	0.000601791	success
websocket-roundtrip-32b	docker	10	0.003265792	success
websocket-roundtrip-1mib	container-engine	10	0.012334292	success
websocket-roundtrip-1mib	docker	10	0.027787667	success
resize	docker	11	0.001165208	success
resize	container-engine	11	0.000703709	success
websocket-roundtrip-32b	docker	11	0.000858916	success
websocket-roundtrip-32b	container-engine	11	0.000581000	success
websocket-roundtrip-1mib	docker	11	0.027297334	success
websocket-roundtrip-1mib	container-engine	11	0.012258333	success
